Year,Malaysia,  Bumiputera,  Cina/Chinese,  India/Indians,  Lain-lain/Others,  Bandar/Urban,  Luar bandar/Rural,  Johor,  Kedah,  Kelantan,  Melaka,  Negeri Sembilan,  Pahang,  Pulau Pinang,  Perak,  Perlis,  Selangor,  Terengganu,  Sabah,  Sarawak,  W.P. Kuala Lumpur,  W.P.  Labuan,  W.P. Putrajaya
1970,264,172,394,304,813,428,200,237,189,151,265,286,286,292,254,140,421,173,n.a,n.a,n.a,n.a,n.a
1974,362,242,534,408,1299,570,269,382,256,231,410,386,305,471,305,206,598,206,n.a,n.a,n.a,n.a,n.a
1976,505,345,787,538,1268,843,385,513,306,269,568,505,477,589,436,338,735,339,513,426,1058,n.a,n.a
1979,678,492,1002,756,1475,1045,523,731,382,341,772,629,702,840,559,316,1067,360,767,582,n.a,n.a,n.a
1984,1098,844,1552,1107,2957,1573,842,1065,690,625,1040,1039,960,1183,883,692,1590,756,1212,1033,1920,n.a,n.a
1987,1083,868,1488,1105,2992,1488,881,1060,718,667,1034,908,900,1130,863,711,1558,694,1116,1141,1790,n.a,n.a
1989,1169,941,1629,1207,952,1606,957,1150,749,712,1084,1083,961,1326,973,817,1658,759,1264,1190,1824,n.a,n.a
1992,1566,1268,2192,1604,1163,2032,1024,1713,1048,907,1459,1380,1262,1821,1274,1040,2280,939,1490,1480,2429,n.a,n.a
1995,2020,1604,2890,2140,1284,2589,1326,2138,1295,1091,1843,1767,1436,2225,1436,1158,3162,1117,1647,1886,3371,n.a,n.a
1997,2606,2038,3738,2896,1680,3357,1704,2772,1590,1249,2276,2378,1632,3130,1940,1507,4006,1497,2057,2242,4768,n.a,n.a
1999,2472,1984,3456,2702,1371,3103,1718,2646,1612,1314,2260,2335,1482,3128,1743,1431,3702,1599,1905,2276,4105,n.a,n.a
2002,3011,2376,4279,3044,2165,3652,1729,2963,1966,1674,2650,2739,1991,3496,2153,2006,4406,1837,2406,2515,4930,n.a,n.a
2004,3249,2711,4437,3456,2312,3956,1875,3076,2126,1829,2791,2886,2410,3531,2207,2046,5175,1984,2487,2725,5011,n.a,n.a
2007,3686,3156,4853,3799,3561,4356,2283,3457,2408,2143,3421,3336,2995,4004,2545,2541,5580,2463,2837,3349,5322,3726,5294
2009,4025,3624,5011,3999,3640,4705,2545,3835,2667,2536,4184,3540,3279,4407,2809,2617,5962,3017,3102,3581,5488,4407,6747
2012,5000,4457,6366,5233,3843,5742,3080,4658,3425,3168,4759,4576,3745,5055,3548,3538,7023,3967,4013,4293,8586,6317,8101
2014,6141,5548,7666,6246,6011,6833,3831,6207,4478,3715,6046,5271,4343,5993,4268,4445,8252,4816,4879,4934,10629,7591,10401
2016,6958,6267,8750,7150,4951,7671,4359,6928,4971,4214,6849,5887,5012,6771,5065,4998,9463,5776,5354,5387,11692,8174,11555
2019,7901,7093,9895,8216,5933,8635,5004,8013,5522,4874,7741,6707,5667,7774,5645,5476,10827,6815,5745,5959,13257,8319,12840
2020,7089,,,,,,,7264,5005,4411,7186,6184,5144,6850,5081,4971,9668,6051,5215,5087,11728,7333,12322