Year,Malaysia,W.P..Kuala.Lumpur,Selangor,Johor,Pulau.Pinang,Negeri.Sembilan,Perak,Melaka,Kedah,Pahang,Terengganu,Kelantan,Perlis,Sabah,Sarawak
2009,199431,352531,217922,154985,207959,129768,111259,103437,119524,131402,145232,97681,96534,219709,243246
2009.25,203511,360813,221584,166284,217624,130640,109478,103902,122054,138156,147434,102937,103080,231972,243428
2009.5,206268,368944,228034,160104,219988,130599,108088,108600,123288,136066,153348,107936,107340,232904,234335
2009.75,208670,377406,233221,154018,223494,129027,112737,106226,125803,134332,153033,110912,112204,238698,246710
2010,209763,379441,234172,161791,223214,132266,112127,104876,126813,132844,158549,111713,108613,247677,244295
2010.25,216561,394928,241505,159176,226475,133206,113568,108888,130106,135645,160847,106026,110589,249796,254865
2010.5,220154,400493,247923,164368,226043,136187,115099,111934,132174,137358,163210,112320,112517,257812,263935
2010.75,224952,410511,255006,163209,233158,138768,120472,115334,135195,140338,171559,120241,110049,267141,258565
2011,229561,420488,262111,164472,235532,147643,123527,112195,134099,142866,171717,121561,120966,270116,265809
2011.25,235706,443055,266858,168734,241901,146568,126857,114150,141092,145193,181169,115595,122713,278194,270673
2011.5,241626,454316,274279,171387,246856,149224,128702,116455,140203,160280,185265,121041,126207,295449,277791
2011.75,250289,468527,285666,175693,258074,153062,132871,117894,143092,162157,191252,127791,130232,306305,275162
2012,258614,495241,293789,176896,262175,162837,135807,117036,144131,166544,195190,120469,117585,309832,298271
2012.25,267359,486716,315747,185409,274361,158644,137166,121228,144082,175847,202122,123100,131863,315155,297040
2012.5,273552,499873,322794,189178,281705,158378,143477,119303,149686,170453,205490,124702,127741,337384,295657
2012.75,286011,551143,319901,212351,289682,164217,147946,125368,150784,178874,208647,135290,131176,330198,329205
2013,287181,554754,317955,217344,296501,165014,146606,131112,158044,175991,215852,140784,131926,350065,336693
2013.25,297885,565838,332640,230374,316924,169045,149400,129778,159300,183675,226553,139868,136477,348819,339747
2013.5,309849,594989,348306,237382,330311,173151,154803,126306,164809,187042,229370,140211,136881,359469,346098
2013.75,312940,604388,349767,243852,339225,176010,154736,128362,164408,192195,229280,147651,145579,371895,333579
2014,316415,605687,354918,242077,344291,175002,161002,128652,167726,192405,231990,150498,152651,370319,347103
2014.25,327900,625979,361764,265324,354538,184032,164821,133476,168049,196522,235273,150186,149595,379872,359131
2014.5,337307,649706,372708,278746,365653,190903,168192,136602,170472,200814,236901,148653,154848,387054,364878
2014.75,340089,650473,374767,274239,368630,193447,167190,139796,175151,207381,243554,150690,159046,397827,364963
2015,345541,662185,382233,270181,371365,189913,173188,139961,176563,208171,245894,150463,161963,403983,370880
2015.25,351149,666808,391314,271886,377834,198384,178541,143874,180330,212736,250067,155474,160635,414570,380609
2015.5,360338,691676,402981,294334,390557,206043,182016,148757,181725,213466,252459,157276,163159,410759,389951
2015.75,361934,696194,406292,282161,397518,208772,178703,149539,184745,215823,254067,157684,164642,397052,392727
2016,370667,704478,415119,294838,396787,210249,181882,151255,187991,217046,259148,153697,166366,401172,394331
2016.25,376247,727855,426706,297001,401688,214646,185664,155734,192029,220500,260255,154563,162141,406884,401791
2016.5,385201,747391,439849,309806,412247,222313,192110,157694,194480,224028,264940,159534,164999,409528,407353
2016.75,387258,749305,442007,305904,410058,224826,191775,162819,195880,222943,269677,157346,164510,406241,407912
2017,395526,767211,453323,313810,419802,228691,192119,163853,197505,223576,266613,159005,170823,414371,411928
2017.25,401905,776806,462549,316976,424450,230992,195101,165658,201379,229039,267945,164400,169797,425294,419745
2017.5,410050,800893,469410,328036,431225,235739,197634,168478,203365,230926,270897,165853,170459,432655,426243
2017.75,411089,795524,472536,328171,427138,240288,199158,174173,206669,229647,271490,167008,168620,433608,432136
2018,412449,788810,473370,331417,427076,245080,200881,178812,210940,227665,267971,172480,174257,441851,440252
2018.25,416716,788475,480233,336831,423931,250798,206380,184063,215677,228044,272227,175854,180466,455618,441675
2018.5,421368,786681,486139,346961,433106,253789,209247,185711,219902,227686,268864,177973,185413,459270,441493
2018.75,421363,788780,482385,348420,435489,253738,213662,186748,222988,230584,270382,182289,191492,458002,439313
2019,422860,793079,482861,349965,439102,254002,213870,186456,223826,228903,272027,187167,192794,464073,440917
2019.25,426417,782174,489854,353846,438625,255353,219214,189417,229151,236852,272434,190765,200733,462609,456810
2019.5,430442,788272,495451,356681,442714,257979,222209,193969,233040,234576,274003,196360,202022,463639,459148
2019.75,428940,779454,491943,359197,435092,263322,225460,196876,239230,231730,272550,203585,210361,458124,463816
2020,430786,787287,488228,363849,439015,265580,230643,198757,238820,233691,268586,204993,207012,456746,474999
2020.25,432359,785457,489811,362967,442117,268668,235590,198164,240031,231743,272757,209370,207996,454755,484130
2020.5,431288,776760,482515,359604,436511,263799,233512,194376,240555,229190,270865,209012,208506,454255,471525
2020.75,434013,771686,492138,371679,442549,266316,237496,203857,246670,235643,279021,221809,213469,462611,485622
2021,433803,758695,494218,375056,435430,271158,239935,206838,248886,234452,276309,222550,212916,467456,486192
2021.25,436958,757033,499299,377718,440431,272924,244650,209970,254718,240098,279241,228920,209496,465444,483804
2021.5,428458,731910,490779,369772,430818,276997,236597,205305,251339,236556,278463,227343,213458,465579,479146